2012 Rank Order,1980 Rank Order,Question and Correct Response,Probability of Recall,,,Response Latency,,Proportion of Errors,,Confidence Judgments,,,,Peer Judgments,,Judge Corrs
,,,M,Nrc,Nri,RLc,RLi,Ec,Eo,M,CJc,CJi,Nci,M,N pj,r
1,2,WHAT IS THE NAME OF THE HORSE-LIKE ANIMAL WITH BLACK AND WHITE STRIPES? (ZEBRA),0.933,196,14,6.3,14.7,0.03,0.04,95,96.2,58.2,6,89.4,213,.66*
2,3,WHAT IS THE NAME OF THE LONG SLEEP SOME ANIMALS GO THROUGH DURING THE ENTIRE WINTER? (HIBERNATION),0.89,137,17,9.6,11.8,0.06,0.05,92.5,95.6,49.5,10,83.8,154,.61*
3,16,WHAT IS THE NAME OF THE RUBBER OBJECT THAT IS HIT BACK AND FORTH BY HOCKEY PLAYERS? (PUCK),0.888,198,25,6.7,10.3,0.04,0.08,93.8,96.3,29.9,8,83.1,226,.53*
4,15,WHAT IS THE NAME OF THE REMAINS OF PLANTS AND ANIMALS THAT ARE FOUND IN STONE? (FOSSILS),0.873,137,20,9.1,23.5,0.06,0.07,89,93.3,24.3,9,79,159,.65*
5,13,WHICH PRECIOUS GEM IS RED? (RUBY),0.849,141,25,4.6,11.2,0.08,0.07,8.6,90.8,33.4,14,77.6,166,.64*
6,25,WHAT IS THE NAME OF THE SEVERE HEADACHE THAT RETURNS PERIODICALLY AND OFTEN IS ACCOMPANIED BY NAUSEA? (MIGRAINE),0.847,133,24,10.2,15.2,0.07,0.08,80.5,84,38.7,11,69.8,159,.64*
7,30,WHAT IS THE LAST NAME OF THE AUTHOR WHO WROTE “ROMEO AND JULIET”? (SHAKESPEARE),0.843,172,32,10.8,14.5,0.03,0.13,89.3,90.8,45,6,79.9,210,.61*
8,9,WHAT IS THE NAME OF A DRIED GRAPE? (RAISIN),0.835,116,23,6.8,6.5,0.12,0.05,87.7,91,64.1,16,83.9,140,.52*
9,1,WHAT IS THE NAME OF THE COMIC STRIP CHARACTER WHO EATS SPINACH TO INCREASE HIS STRENGTH? (POPEYE)b,0.824,112,24,8.5,12.7,0.06,0.12,91.5,94.1,56.3,8,73.4,141,.66*
10,93,WHAT ANIMAL RUNS THE FASTEST? (CHEETAH)a,0.816,115,26,5.6,12.8,0.13,0.05,76.2,83.5,32.1,19,71.1,141,.72*
11,33,WHAT IS THE NAME OF THE PROCESS BY WHICH PLANTS MAKE THEIR FOOD? (PHOTOSYNTHESIS),0.8,104,26,11.8,15,0.04,0.16,84.3,87.4,19,5,70.2,134,.40*
12,19,WHAT IS THE NAME OF DOROTHY’S DOG IN “THE WIZARD OF OZ”? (TOTO),0.799,123,31,6.7,16.9,0.08,0.12,89.6,97,13.9,12,80.7,154,.69*
13,7,WHAT IS THE NAME OF THE MOLTEN ROCK THAT RUNS DOWN THE SIDE OF A VOLCANO DURING AN ERUPTION? (LAVA),0.793,119,31,8.6,11.7,0.1,0.11,87.2,90.7,59.7,15,77.1,150,.54*
14,37,WHAT WAS THE NAME OF THE SUPPOSEDLY UNSINKABLE SHIP THAT SUNK ON ITS MAIDEN VOYAGE IN 1912? (TITANIC),0.789,112,30,9.3,12.9,0.05,0.16,83.8,87.5,24.3,7,72.5,144,.81*
15,8,WHICH SPORT USES THE TERMS “GUTTER” AND “ALLEY”? (BOWLING),0.788,164,44,6.6,11.5,0.09,0.12,86.1,93.5,22.1,19,75,210,.80*
16,57,WHAT IS THE NAME OF A GIANT OCEAN WAVE CAUSED BY AN EARTHQUAKE? (TSUNAMI),0.784,120,33,10.5,14.3,0.09,0.12,84.4,89.2,45.7,15,72.7,153,.63*
17,24,WHAT IS THE TERM FOR HITTING A VOLLEYBALL DOWN HARD INTO THE OPPONENT’S COURT? (SPIKE),0.784,163,45,7.2,11.3,0.12,0.1,86.9,91.1,59.4,25,74.9,214,.49*
18,73,WHAT IS THE LAST NAME OF THE VILLAINOUS CAPTAIN IN THE STORY “PETER PAN”? (HOOK)a,0.781,114,32,8.5,16.1,0.03,0.18,89.9,92.6,28,5,77.6,146,.61*
19,5,WHAT WAS THE NAME OF TARZAN’S GIRLFRIEND? (JANE),0.781,121,34,4.3,18.7,0.12,0.1,85.9,96.5,14.8,18,74,156,.71*
20,4,WHAT IS THE LAST NAME OF THE BROTHERS WHO FLEW THE FIRST AIRPLANE AT KITTY HAWK? (WRIGHT)b,0.751,151,50,8.6,11.5,0.05,0.19,81.1,83.5,48.2,11,65.4,204,.72*
21,17,WHAT IS THE NAME FOR A MEDICAL DOCTOR WHO SPECIALIZES IN CUTTING THE BODY? (SURGEON),0.748,101,34,11.5,8.7,0.04,0.21,70.7,74,15,6,59,139,.80*
22,53,WHAT IS THE LAST NAME OF THE FIRST PERSON TO SET FOOT ON THE MOON? (ARMSTRONG),0.741,100,35,11,16.2,0.12,0.14,74.6,77.6,55.8,16,72,135,.77*
23,6,WHAT IS THE CAPITAL OF FRANCE? (PARIS)b,0.73,157,58,5.8,9.3,0.11,0.16,68,71.9,42.6,24,68,219,.78*
24,11,WHAT IS THE NAME OF THE CRIME IN WHICH A BUILDING OR PROPERTY IS PURPOSELY SET ON FIRE? (ARSON)b,0.722,109,42,8.6,18,0.14,0.14,79.1,88.3,31.9,21,68.7,153,.72*
25,79,WHAT IS THE NAME OF THE SHORT PLEATED SKIRT WORN BY MEN IN SCOTLAND? (KILT),0.717,99,39,6.7,13.9,0.08,0.2,87.9,95.9,15.4,11,70.1,138,.75*
26,18,WHAT IS THE NAME OF AN INABILITY TO SLEEP? (INSOMNIA),0.714,150,60,7.6,19,0.18,0.11,81,89.4,47.3,37,68.5,214,.65*
27,26,WHAT IS THE NAME FOR A MEDICAL DOCTOR WHO SPECIALIZES IN DISEASES OF THE SKIN? (DERMATOLOGIST),0.692,146,65,12.3,13.7,0.09,0.22,80.7,86.7,34.5,19,60.9,217,.66*
28,43,WHAT IS THE NAME OF THE LARGEST OCEAN ON EARTH? (PACIFIC),0.685,98,45,8.1,13.4,0.28,0.03,65.4,72.2,48.9,40,70.3,144,.71*
29,22,WHAT IS THE NAME OF THE SHIP THAT CARRIED THE PILGRIMS TO AMERICA IN 1620? (MAYFLOWER)b,0.663,130,66,8.5,17.6,0.16,0.18,77.7,86.6,40.3,31,66.5,202,.80*
30,41,WHAT IS THE NAME FOR A CYCLONE THAT OCCURS OVER LAND? (TORNADO),0.641,82,46,8,10.8,0.18,0.18,79.3,86.9,52.3,23,68.4,128,.82*
31,10,WHICH SPORT IS ASSOCIATED WITH WIMBLEDON? (TENNIS)b,0.619,135,83,5.4,10.4,0.14,0.24,80.2,91.5,29,30,58.7,224,.71*
